File,Database_Code,Category
ClathrateI_all_CollCode423637.cif,ICSD 423637,12g-16i-24k
ClathrateI_all_CollCode423638.cif,ICSD 423638,12g-16i-24k
ClathrateI_all_CollCode416531.cif,ICSD 416531,24k-48l
ClathrateI_all_CollCode423639.cif,ICSD 423639,24k-48l
ClathrateI_all_CollCode423640.cif,ICSD 423640,24k-48l
Ca-B-C-clatI-2338100-corr.cif,depnum_ccdc_archive CCDC 2338100,6c-16i-24k
ClathrateI_all_CollCode100103.cif,ICSD 100103,6c-16i-24k
ClathrateI_all_CollCode120108.cif,ICSD 120108,6c-16i-24k
ClathrateI_all_CollCode120109.cif,ICSD 120109,6c-16i-24k
ClathrateI_all_CollCode120110.cif,ICSD 120110,6c-16i-24k
ClathrateI_all_CollCode120345.cif,ICSD 120345,6c-16i-24k
ClathrateI_all_CollCode120346.cif,ICSD 120346,6c-16i-24k
ClathrateI_all_CollCode121776.cif,ICSD 121776,6c-16i-24k
ClathrateI_all_CollCode125336.cif,ICSD 125336,6c-16i-24k
ClathrateI_all_CollCode125337.cif,ICSD 125337,6c-16i-24k
ClathrateI_all_CollCode125582.cif,ICSD 125582,6c-16i-24k
ClathrateI_all_CollCode127828.cif,ICSD 127828,6c-16i-24k
ClathrateI_all_CollCode127829.cif,ICSD 127829,6c-16i-24k
ClathrateI_all_CollCode129924.cif,ICSD 129924,6c-16i-24k
ClathrateI_all_CollCode134509.cif,ICSD 134509,6c-16i-24k
ClathrateI_all_CollCode144958.cif,ICSD 144958,6c-16i-24k
ClathrateI_all_CollCode151768.cif,ICSD 151768,6c-16i-24k
ClathrateI_all_CollCode151769.cif,ICSD 151769,6c-16i-24k
ClathrateI_all_CollCode151770.cif,ICSD 151770,6c-16i-24k
ClathrateI_all_CollCode153099.cif,ICSD 153099,6c-16i-24k
ClathrateI_all_CollCode153685.cif,ICSD 153685,6c-16i-24k
ClathrateI_all_CollCode153686.cif,ICSD 153686,6c-16i-24k
ClathrateI_all_CollCode153687.cif,ICSD 153687,6c-16i-24k
ClathrateI_all_CollCode153688.cif,ICSD 153688,6c-16i-24k
ClathrateI_all_CollCode153714.cif,ICSD 153714,6c-16i-24k
ClathrateI_all_CollCode153715.cif,ICSD 153715,6c-16i-24k
ClathrateI_all_CollCode153716.cif,ICSD 153716,6c-16i-24k
ClathrateI_all_CollCode153717.cif,ICSD 153717,6c-16i-24k
ClathrateI_all_CollCode153718.cif,ICSD 153718,6c-16i-24k
ClathrateI_all_CollCode153719.cif,ICSD 153719,6c-16i-24k
ClathrateI_all_CollCode153720.cif,ICSD 153720,6c-16i-24k
ClathrateI_all_CollCode153721.cif,ICSD 153721,6c-16i-24k
ClathrateI_all_CollCode153722.cif,ICSD 153722,6c-16i-24k
ClathrateI_all_CollCode153723.cif,ICSD 153723,6c-16i-24k
ClathrateI_all_CollCode153724.cif,ICSD 153724,6c-16i-24k
ClathrateI_all_CollCode153725.cif,ICSD 153725,6c-16i-24k
ClathrateI_all_CollCode153726.cif,ICSD 153726,6c-16i-24k
ClathrateI_all_CollCode153727.cif,ICSD 153727,6c-16i-24k
ClathrateI_all_CollCode153728.cif,ICSD 153728,6c-16i-24k
ClathrateI_all_CollCode153729.cif,ICSD 153729,6c-16i-24k
ClathrateI_all_CollCode153730.cif,ICSD 153730,6c-16i-24k
ClathrateI_all_CollCode153731.cif,ICSD 153731,6c-16i-24k
ClathrateI_all_CollCode153732.cif,ICSD 153732,6c-16i-24k
ClathrateI_all_CollCode153733.cif,ICSD 153733,6c-16i-24k
ClathrateI_all_CollCode153734.cif,ICSD 153734,6c-16i-24k
ClathrateI_all_CollCode153735.cif,ICSD 153735,6c-16i-24k
ClathrateI_all_CollCode153736.cif,ICSD 153736,6c-16i-24k
ClathrateI_all_CollCode153737.cif,ICSD 153737,6c-16i-24k
ClathrateI_all_CollCode153738.cif,ICSD 153738,6c-16i-24k
ClathrateI_all_CollCode153739.cif,ICSD 153739,6c-16i-24k
ClathrateI_all_CollCode153740.cif,ICSD 153740,6c-16i-24k
ClathrateI_all_CollCode153741.cif,ICSD 153741,6c-16i-24k
ClathrateI_all_CollCode153742.cif,ICSD 153742,6c-16i-24k
ClathrateI_all_CollCode153743.cif,ICSD 153743,6c-16i-24k
ClathrateI_all_CollCode153744.cif,ICSD 153744,6c-16i-24k
ClathrateI_all_CollCode153745.cif,ICSD 153745,6c-16i-24k
ClathrateI_all_CollCode153746.cif,ICSD 153746,6c-16i-24k
ClathrateI_all_CollCode153747.cif,ICSD 153747,6c-16i-24k
ClathrateI_all_CollCode153748.cif,ICSD 153748,6c-16i-24k
ClathrateI_all_CollCode153749.cif,ICSD 153749,6c-16i-24k
ClathrateI_all_CollCode153750.cif,ICSD 153750,6c-16i-24k
ClathrateI_all_CollCode153751.cif,ICSD 153751,6c-16i-24k
ClathrateI_all_CollCode153752.cif,ICSD 153752,6c-16i-24k
ClathrateI_all_CollCode153753.cif,ICSD 153753,6c-16i-24k
ClathrateI_all_CollCode153754.cif,ICSD 153754,6c-16i-24k
ClathrateI_all_CollCode153755.cif,ICSD 153755,6c-16i-24k
ClathrateI_all_CollCode153756.cif,ICSD 153756,6c-16i-24k
ClathrateI_all_CollCode153757.cif,ICSD 153757,6c-16i-24k
ClathrateI_all_CollCode153758.cif,ICSD 153758,6c-16i-24k
ClathrateI_all_CollCode153759.cif,ICSD 153759,6c-16i-24k
ClathrateI_all_CollCode153760.cif,ICSD 153760,6c-16i-24k
ClathrateI_all_CollCode153761.cif,ICSD 153761,6c-16i-24k
ClathrateI_all_CollCode153762.cif,ICSD 153762,6c-16i-24k
ClathrateI_all_CollCode153763.cif,ICSD 153763,6c-16i-24k
ClathrateI_all_CollCode15641.cif,ICSD 15641,6c-16i-24k
ClathrateI_all_CollCode156983.cif,ICSD 156983,6c-16i-24k
ClathrateI_all_CollCode156984.cif,ICSD 156984,6c-16i-24k
ClathrateI_all_CollCode156985.cif,ICSD 156985,6c-16i-24k
ClathrateI_all_CollCode156986.cif,ICSD 156986,6c-16i-24k
ClathrateI_all_CollCode162161.cif,ICSD 162161,6c-16i-24k
ClathrateI_all_CollCode162162.cif,ICSD 162162,6c-16i-24k
ClathrateI_all_CollCode162163.cif,ICSD 162163,6c-16i-24k
ClathrateI_all_CollCode162164.cif,ICSD 162164,6c-16i-24k
ClathrateI_all_CollCode162167.cif,ICSD 162167,6c-16i-24k
ClathrateI_all_CollCode162168.cif,ICSD 162168,6c-16i-24k
ClathrateI_all_CollCode162169.cif,ICSD 162169,6c-16i-24k
ClathrateI_all_CollCode162170.cif,ICSD 162170,6c-16i-24k
ClathrateI_all_CollCode162171.cif,ICSD 162171,6c-16i-24k
ClathrateI_all_CollCode162606.cif,ICSD 162606,6c-16i-24k
ClathrateI_all_CollCode162929.cif,ICSD 162929,6c-16i-24k
ClathrateI_all_CollCode163423.cif,ICSD 163423,6c-16i-24k
ClathrateI_all_CollCode163936.cif,ICSD 163936,6c-16i-24k
ClathrateI_all_CollCode165179.cif,ICSD 165179,6c-16i-24k
ClathrateI_all_CollCode165369.cif,ICSD 165369,6c-16i-24k
ClathrateI_all_CollCode165370.cif,ICSD 165370,6c-16i-24k
ClathrateI_all_CollCode165803.cif,ICSD 165803,6c-16i-24k
ClathrateI_all_CollCode167810.cif,ICSD 167810,6c-16i-24k
ClathrateI_all_CollCode168734.cif,ICSD 168734,6c-16i-24k
ClathrateI_all_CollCode170289.cif,ICSD 170289,6c-16i-24k
