File,Database_Code
Acanthite__0010584.cif,amcsd 0010584
Agmantinite__0021412.cif,amcsd 0021412
Aguilarite__0019989.cif,amcsd 0019989
Aikinite__0009395.cif,amcsd 0009395
Aikinite__0010716.cif,amcsd 0010716
Aktashite__0012465.cif,amcsd 0012465
Aktashite__0018863.cif,amcsd 0018863
Aktashite__0018891.cif,amcsd 0018891
Alabandite__0007512.cif,amcsd 0007512
Alabandite__0007513.cif,amcsd 0007513
Alabandite__0007514.cif,amcsd 0007514
Alabandite__0007515.cif,amcsd 0007515
Alabandite__0007516.cif,amcsd 0007516
Alabandite__0007517.cif,amcsd 0007517
Alabandite__0007518.cif,amcsd 0007518
Alabandite__0007519.cif,amcsd 0007519
Alabandite__0007520.cif,amcsd 0007520
Alabandite__0007521.cif,amcsd 0007521
Alabandite__0007522.cif,amcsd 0007522
Alabandite__0007523.cif,amcsd 0007523
Alabandite__0007524.cif,amcsd 0007524
Alabandite__0007525.cif,amcsd 0007525
Alabandite__0007526.cif,amcsd 0007526
Alabandite__0007527.cif,amcsd 0007527
Alabandite__0011353.cif,amcsd 0011353
Alabandite__0018188.cif,amcsd 0018188
Alloclasite__0005134.cif,amcsd 0005134
Altaite__0000005.cif,amcsd 0000005
Altaite__0010040.cif,amcsd 0010040
Altaite__0010041.cif,amcsd 0010041
Altaite__0011374.cif,amcsd 0011374
Andreadiniite__0021372.cif,amcsd 0021372
Andrieslombaardite__0021202.cif,amcsd 0021202
Andrieslombaardite__0021203.cif,amcsd 0021203
Anilite__0009376.cif,amcsd 0009376
Annivite-(Zn)__original__0021724.cif,
Anorpiment__0018526.cif,amcsd 0018526
Antimonselite__0008967.cif,amcsd 0008967
Antimonselite__0009196.cif,amcsd 0009196
Aramayoite__0002821.cif,amcsd 0002821
Argentobaumhauerite__0021367.cif,amcsd 0021367
Argentoliveingite__0021364.cif,amcsd 0021364
Argentopentlandite__0005093.cif,amcsd 0005093
Argentopolybasite__0021361.cif,amcsd 0021361
Argentopolybasite__0021362.cif,amcsd 0021362
Argentopyrite__0004994.cif,amcsd 0004994
